Species,Area,Units,Country,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006
AAS,27.3,TLW,DK,0,0,0,0,0,0,0,0,0,0
AAS,27,TLW,DK,0,0,0,0,0,0,0,0,0,0
AAS,27.3.a,TLW,DK,0,0,0,0,0,0,0,0,0,0
AAS,27.3.c.22,TLW,DK,0,0,0,0,0,0,0,0,0,0
ABK,27.4,TLW,DK,0.06,0,0,0,0,0,0,0,0,0
ABK,27,TLW,DK,0.06,0,0,0,0,0,0,0,0,0
ABK,27.4.b,TLW,DK,0.06,0,0,0,0,0,0,0,0,0
ABK,27.3,TLW,EE,29.77,30,0,0,0,0,0,0,0,0
ABK,27,TLW,EE,29.77,30,0,0,0,0,0,0,0,0
ABK,27.3.d,TLW,EE,29.77,30,0,0,0,0,0,0,0,0
ABK,27.3.d.28,TLW,EE,5.75,7,0,0,0,0,0,0,0,0
ABK,27.3.d.28.1,TLW,EE,5.75,7,0,0,0,0,0,0,0,0
ABK,27.3.d.29,TLW,EE,23.81,23,0,0,0,0,0,0,0,0
ABK,27.3.d.32,TLW,EE,0.21,0,0,0,0,0,0,0,0,0
ABK,27.3,TLW,LT,0,0,0,0,0,0,0,0,0,0
ABK,27,TLW,LT,0,0,0,0,0,0,0,0,0,0
ABK,27.3.d,TLW,LT,0,0,0,0,0,0,0,0,0,0
ABK,27.3.d.26,TLW,LT,0,0,0,0,0,0,0,0,0,0
ABK,27.3,TLW,LV,4.92,1,0,0,2,1,1,1,0,0
ABK,27,TLW,LV,4.92,1,0,0,2,1,1,1,0,0
ABK,27.3.d,TLW,LV,4.92,1,0,0,2,1,1,1,0,0
ABK,27.3.d.26,TLW,LV,0.04,0,0,0,0,0,0,0,0,0
ABK,27.3.d.28,TLW,LV,4.88,1,0,0,1,1,1,1,0,0
ABK,27.3.d.28.1,TLW,LV,4.51,0,0,0,0,0,0,0,0,0
ABK,27.3.d.28.2,TLW,LV,0.37,1,0,0,0,0,0,0,0,0
ABK,27.3.d.28_NK,TLW,LV,0,0,0,0,1,1,1,1,0,0
ABK,27.4,TLW,NL,0,0,0,0,2,0,0,0,0,0
ABK,27,TLW,NL,0,0,0,0,2,0,0,0,0,0
ABK,27.4.b,TLW,NL,0,0,0,0,2,0,0,0,0,0
ABK,27.3,TLW,PL,35.17,0,54,31,44,0,0,0,0,0
ABK,27,TLW,PL,35.17,0,54,31,44,0,0,0,0,0
ABK,27.3.d,TLW,PL,35.17,0,54,31,44,0,0,0,0,0
ABK,27.3.d.24,TLW,PL,34.26,0,46,26,34,0,0,0,0,0
ABK,27.3.d.25,TLW,PL,0,0,0,0,2,0,0,0,0,0
ABK,27.3.d.26,TLW,PL,0.92,0,8,5,8,0,0,0,0,0
ABK,27.3,TLW,RU,55,38,47,31,46,34,0,20,0,0
ABK,27,TLW,RU,55,38,47,31,46,34,0,20,0,0
ABK,27.3.d,TLW,RU,55,38,47,31,46,34,0,20,0,0
ABK,27.3.d.26,TLW,RU,0,0,0,0,15,4,0,4,0,0
ABK,27.3.d.32,TLW,RU,55,38,47,31,31,30,0,16,0,0
ABX,27.7,TLW,IE,0,0,0,0,0,0,0,0,0,5
ABX,27,TLW,IE,0,0,0,0,0,0,0,0,0,5
ABX,27.7.j,TLW,IE,0,0,0,0,0,0,0,0,0,5
ABX,27.7.j_NK,TLW,IE,0,0,0,0,0,0,0,0,0,5
ABX,27.7,TLW,JE,0.023,0.01,0.089,0.144,0.242,0.941,0,0,0,0
ABX,27,TLW,JE,0.023,0.01,0.089,0.144,0.242,0.941,0,0,0,0
ABX,27.7.e,TLW,JE,0.023,0.01,0.089,0.144,0.242,0.941,0,0,0,0
ABX,27.9,TLW,PT,0,4,0,3,0,0,0,0,0,0
ABX,27,TLW,PT,0,5,0,3,0,0,0,0,0,0
ABX,27.1,TLW,PT,0,0,0,0,0,0,0,0,0,0
ABX,27.10.a,TLW,PT,0,0,0,0,0,0,0,0,0,0
ABX,27.10.a.1,TLW,PT,0,0,0,0,0,0,0,0,0,0
ABX,27.10.b,TLW,PT,0,0,0,0,0,0,0,0,0,0
ABX,27.9.a,TLW,PT,0,1,0,3,0,0,0,0,0,0
ABX,27.9.b,TLW,PT,0,4,0,0,0,0,0,0,0,0
ABX,27.9.b.1,TLW,PT,0,4,0,0,0,0,0,0,0,0
ABZ,27.3,TLW,EE,0.33,0,0,0,0,0,0,0,0,0
ABZ,27,TLW,EE,0.33,0,0,0,0,0,0,0,0,0
ABZ,27.3.d,TLW,EE,0.33,0,0,0,0,0,0,0,0,0
ABZ,27.3.d.28,TLW,EE,0.33,0,0,0,0,0,0,0,0,0
ABZ,27.3.d.28.1,TLW,EE,0.33,0,0,0,0,0,0,0,0,0
ACC,27.3,TLW,EE,24.17,35,0,0,0,0,0,0,0,0
ACC,27,TLW,EE,24.17,35,0,0,0,0,0,0,0,0
ACC,27.3.d,TLW,EE,24.17,35,0,0,0,0,0,0,0,0
ACC,27.3.d.28,TLW,EE,15.58,21,0,0,0,0,0,0,0,0
ACC,27.3.d.28.1,TLW,EE,15.56,21,0,0,0,0,0,0,0,0
ACC,27.3.d.28.2,TLW,EE,0.02,0,0,0,0,0,0,0,0,0
ACC,27.3.d.29,TLW,EE,8.54,14,0,0,0,0,0,0,0,0
ACC,27.3.d.32,TLW,EE,0.04,0,0,0,0,0,0,0,0,0
ACC,27.3,TLW,LT,0,0,0,0,0,0,0,0,0,0
ACC,27,TLW,LT,0,0,0,0,0,0,0,0,0,0
ACC,27.3.d,TLW,LT,0,0,0,0,0,0,0,0,0,0
ACC,27.3.d_NK,TLW,LT,0,0,0,0,0,0,0,0,0,0
ACC,27.3,TLW,LV,0.05,0,0,0,0,0,0,0,0,0
ACC,27,TLW,LV,0.05,0,0,0,0,0,0,0,0,0
ACC,27.3.d,TLW,LV,0.05,0,0,0,0,0,0,0,0,0
ACC,27.3.d.28,TLW,LV,0.05,0,0,0,0,0,0,0,0,0
ACC,27.3.d.28.1,TLW,LV,0.05,0,0,0,0,0,0,0,0,0
ACC,27.3.d.28_NK,TLW,LV,0,0,0,0,0,0,0,0,0,0
ACC,27.3,TLW,PL,0.11,0,0,1,0,1,1,1,2,2
ACC,27,TLW,PL,0.11,0,0,1,0,1,1,1,2,2
ACC,27.3.d,TLW,PL,0.11,0,0,1,0,1,1,1,2,2
ACC,27.3.d.24,TLW,PL,0.11,0,0,0,0,1,1,1,2,2
ACC,27.3.d.25,TLW,PL,0,0,0,0,0,0,0,0,0,0
ACC,27.3.d.26,TLW,PL,0,0,0,1,0,0,0,0,0,0
ACC,27.3,TLW,RU,256,257,284,267,169,259,0,207,0,0
ACC,27,TLW,RU,256,257,284,267,169,259,0,207,0,0
ACC,27.3.d,TLW,RU,256,257,284,267,169,259,0,207,0,0
ACC,27.3.d.26,TLW,RU,2,4,1,1,10,28,0,56,0,0
ACC,27.3.d.32,TLW,RU,254,253,283,266,159,231,0,151,0,0
ACC,27.3,TLW,SE,0.03,0,0,0,0,0,0,0,0,0
ACC,27,TLW,SE,0.03,0,0,0,0,0,0,0,0,0
ACC,27.3.d,TLW,SE,0.03,0,0,0,0,0,0,0,0,0
ACC,27.3.d.25,TLW,SE,0.03,0,0,0,0,0,0,0,0,0
ACH,27.3,TLW,NO,0,0,0,0,0,0,0,0,0,0
ACH,27.4,TLW,NO,0,0,0,0,0,0,0,0,0,0
ACH,27,TLW,NO,0,0,0,0,0,0,0,0,0,0
ACH,27.3.a,TLW,NO,0,0,0,0,0,0,0,0,0,0
ACH,27.4.a,TLW,NO,0,0,0,0,0,0,0,0,0,0
AES,27.4,TLW,DE,2.53,11,0,0,0,0,0,0,0,0
AES,27,TLW,DE,2.53,11,0,0,0,0,0,0,0,0
AES,27.4.b,TLW,DE,2.53,11,0,0,0,0,0,0,0,0
AES,27.9,TLW,ES,0,0,0,0,0,0,0,0,0,0
AES,27,TLW,ES,0,0,0,0,0,0,0,0,0,0
AES,27.9.a,TLW,ES,0,0,0,0,0,0,0,0,0,0
AES,27.4,TLW,GB,0,0,0,0,0,0,0,0,0,0
AES,27.7,TLW,GB,0,0,0,0,0,0,0,0,0,0
AES,27,TLW,GB,0,0,0,0,0,0,0,0,0,0
AES,27.4.b,TLW,GB,0,0,0,0,0,0,0,0,0,0
AES,27.4.c,TLW,GB,0,0,0,0,0,0,0,0,0,0
AES,27.7.a,TLW,GB,0,0,0,0,0,0,0,0,0,0
AES,27.14,TLW,GL,0,0,0,0,0,0,0,0,0,0
AES,27,TLW,GL,0,0,0,0,0,0,0,0,0,0
AES,27.14.b,TLW,GL,0,0,0,0,0,0,0,0,0,0
AES,27.4,TLW,NL,3.2,8,2,0,0,0,0,0,0,0
AES,27,TLW,NL,3.2,8,2,0,0,0,0,0,0,0
AES,27.4.b,TLW,NL,2.5,5,2,0,0,0,0,0,0,0
AES,27.4.c,TLW,NL,0.7,3,0,0,0,0,0,0,0,0
AGD,27.9,TLW,PT,0,0,0,0,0,0,0,0,0,0
AGD,27,TLW,PT,0,0,0,0,0,0,0,0,0,0
AGD,27.9.a,TLW,PT,0,0,0,0,0,0,0,0,0,0
AGK,27,TLW,PT,4,3,3,3,3,3,2,3,3,5
AGK,27.1,TLW,PT,4,3,3,3,3,3,2,3,3,5
AGK,27.10.a,TLW,PT,4,3,3,3,3,0,2,3,0,0
AGK,27.10.a.2,TLW,PT,4,3,3,3,3,0,0,0,0,0
AGK,27.10.a_NK,TLW,PT,0,0,0,0,0,0,2,3,0,0
AGK,27.10_NK,TLW,PT,0,0,0,0,0,3,0,0,3,5
AGN,27.2,TLW,EE,0,0,0,0,0,0,0,0,0,0
AGN,27,TLW,EE,0,0,0,0,0,0,0,0,0,0
AGN,27.2.b,TLW,EE,0,0,0,0,0,0,0,0,0,0
AGN,27.2.b_NK,TLW,EE,0,0,0,0,0,0,0,0,0,0
AGN,27.8,TLW,ES,0,0,0,0,0,0,0,0,0,0
AGN,27.9,TLW,ES,1.91,0,4,63,10,9,0,0,1,0
